Frequency (Hz)	Level (dB)
70.800781	-79.684990
71.044922	-77.092407
71.289062	-75.976173
71.533203	-76.221664
71.777344	-75.559647
72.021484	-75.891541
72.265625	-78.227066
72.509766	-76.085182
72.753906	-74.645073
72.998047	-73.590256
73.242188	-72.412247
73.486328	-74.305397
73.730469	-75.968178
73.974609	-75.884354
74.218750	-75.522942
74.462891	-76.789711
74.707031	-81.925812
74.951172	-78.346161
75.195312	-73.380104
75.439453	-74.937874
75.683594	-74.612534
75.927734	-75.562820
76.171875	-73.708595
76.416016	-79.294792
76.660156	-76.586304
76.904297	-78.822708
77.148438	-78.916229
77.392578	-79.962791
77.636719	-78.262329
77.880859	-74.147209
78.125000	-74.334068
78.369141	-77.817039
78.613281	-76.970345
78.857422	-78.417793
79.101562	-76.527672
79.345703	-77.541351
79.589844	-78.932617
79.833984	-82.950668
80.078125	-77.602661
80.322266	-79.368263
80.566406	-79.574875
80.810547	-80.781067
81.054688	-77.088463
81.298828	-79.097260
81.542969	-79.533806
81.787109	-76.296761
82.031250	-76.960381
82.275391	-80.523376
82.519531	-76.420242
82.763672	-76.222916
83.007812	-76.029488
83.251953	-77.179649
83.496094	-75.368057
83.740234	-74.672852
83.984375	-75.414429
84.228516	-77.327065
84.472656	-78.892738
84.716797	-76.414978
84.960938	-75.294312
85.205078	-73.775116
85.449219	-76.836029
85.693359	-75.936661
85.937500	-81.562500
86.181641	-77.364471
86.425781	-72.804573
86.669922	-75.773659
86.914062	-72.935417
87.158203	-74.933334
87.402344	-77.153053
87.646484	-77.267212
87.890625	-77.114342
88.134766	-77.684143
88.378906	-77.804901
88.623047	-77.817802
88.867188	-76.608841
89.111328	-77.050278
89.355469	-76.676270
89.599609	-73.209976
89.843750	-75.445984
90.087891	-74.371437
90.332031	-75.526405
90.576172	-77.421585
90.820312	-79.459526
91.064453	-76.612854
91.308594	-78.299492
91.552734	-77.532555
91.796875	-76.924606
92.041016	-77.145844
92.285156	-80.009796
92.529297	-79.009384
92.773438	-80.390030
93.017578	-78.444656
93.261719	-79.110565
93.505859	-77.509460
93.750000	-82.211227
93.994141	-80.130348
94.238281	-82.245026
94.482422	-82.299850
94.726562	-80.683594
94.970703	-77.880257
95.214844	-76.696426
95.458984	-80.830643
95.703125	-82.481171
95.947266	-79.599030
96.191406	-80.189568
96.435547	-78.625069
96.679688	-75.105942
96.923828	-81.024155
97.167969	-82.396027
97.412109	-80.777397
97.656250	-83.173965
97.900391	-80.509476
98.144531	-79.420746
98.388672	-77.081039
98.632812	-81.992622
98.876953	-79.095268
99.121094	-80.025627
99.365234	-80.471451
99.609375	-81.438095
99.853516	-83.282486
100.097656	-80.043297
100.341797	-77.769768
100.585938	-82.199097
100.830078	-79.090668
101.074219	-83.523247
101.318359	-78.750427
101.562500	-78.766289
101.806641	-77.208229
102.050781	-75.984673
102.294922	-83.383072
102.539062	-80.330055
102.783203	-76.506653
103.027344	-77.318779
103.271484	-79.678703
103.515625	-77.918777
103.759766	-77.914673
104.003906	-79.875496
104.248047	-78.271515
104.492188	-75.299530
104.736328	-76.404465
104.980469	-75.644981
105.224609	-78.943283
105.468750	-77.380585
105.712891	-77.846985
105.957031	-76.637405
106.201172	-81.350616
106.445312	-80.339081
106.689453	-78.010315
106.933594	-78.072601
107.177734	-79.721352
107.421875	-79.627228
107.666016	-81.237534
107.910156	-80.407425
108.154297	-80.680168
108.398438	-80.194542
108.642578	-79.114021
108.886719	-79.034698
109.130859	-79.894821
109.375000	-80.256989
109.619141	-77.906853
109.863281	-79.077446
110.107422	-80.197319
110.351562	-79.607895
110.595703	-78.048134
110.839844	-79.123627
111.083984	-80.587318
111.328125	-80.969711
111.572266	-80.208107
111.816406	-78.485275
112.060547	-76.698715
112.304688	-78.226303
112.548828	-79.387543
112.792969	-76.252663
113.037109	-77.762802
113.281250	-80.329575
113.525391	-77.833496
113.769531	-73.163246
114.013672	-72.586647
114.257812	-74.630783
114.501953	-75.257019
114.746094	-76.610481
114.990234	-76.972443
115.234375	-79.176453
115.478516	-79.801483
115.722656	-77.785339
115.966797	-78.080940
116.210938	-78.373329
116.455078	-78.340370
116.699219	-77.852478
116.943359	-78.890259
117.187500	-79.935440
117.431641	-82.546432
117.675781	-83.090706
117.919922	-80.867859
118.164062	-80.834534
118.408203	-78.724716
118.652344	-78.107315
118.896484	-76.748093
119.140625	-80.182762
119.384766	-79.205780
119.628906	-78.784683
119.873047	-73.543251
120.117188	-74.567764
120.361328	-82.219810
120.605469	-79.253113
120.849609	-81.547104
121.093750	-79.853149
121.337891	-78.428619
121.582031	-79.597939
121.826172	-77.220665
122.070312	-79.335579
122.314453	-81.402931
122.558594	-77.887627
122.802734	-80.806984
123.046875	-80.024086
123.291016	-81.117203
123.535156	-80.206284
123.779297	-80.463417
124.023438	-79.318893
124.267578	-83.098289
124.511719	-80.747711
124.755859	-79.019478
125.000000	-78.141869
125.244141	-78.171921
125.488281	-80.265480
125.732422	-82.216949
125.976562	-84.397964
126.220703	-79.603096
126.464844	-79.193840
126.708984	-80.632256
126.953125	-78.994019
127.197266	-81.308380
127.441406	-82.147041
127.685547	-79.950409
127.929688	-79.840210
128.173828	-81.847252
128.417969	-80.740829
128.662109	-80.311417
128.906250	-77.681335
129.150391	-79.451759
129.394531	-77.891777
129.638672	-80.248566
129.882812	-79.777489
130.126953	-79.516624
130.371094	-78.200058
130.615234	-78.117485
130.859375	-79.392601
131.103516	-85.147324
131.347656	-81.043709
131.591797	-79.169464
131.835938	-80.934410
132.080078	-79.426964
132.324219	-81.211342
132.568359	-80.375313
132.812500	-78.192253
133.056641	-82.304512
133.300781	-79.463669
133.544922	-78.717186
133.789062	-80.097458
134.033203	-81.777931
134.277344	-80.690422
134.521484	-81.181206
134.765625	-80.319389
135.009766	-80.932899
135.253906	-80.921127
135.498047	-79.160027
135.742188	-80.130005
135.986328	-81.221611
136.230469	-82.041718
136.474609	-80.122772
136.718750	-82.534592
136.962891	-82.151024
137.207031	-83.468414
137.451172	-80.346237
137.695312	-84.034821
137.939453	-81.196396
138.183594	-81.631546
138.427734	-79.930359
138.671875	-80.944527
138.916016	-82.529678
139.160156	-83.544685
139.404297	-80.881622
139.648438	-80.792213
139.892578	-79.968613
140.136719	-81.438629
140.380859	-82.521240
140.625000	-78.073044
140.869141	-78.382401
141.113281	-80.656670
141.357422	-84.395897
141.601562	-81.616882
141.845703	-82.352760
142.089844	-79.974068
142.333984	-80.850014
142.578125	-78.182243
142.822266	-80.990471
143.066406	-80.642921
143.310547	-82.468498
143.554688	-80.555717
143.798828	-82.047905
144.042969	-79.386185
144.287109	-82.014832
144.531250	-78.136948
144.775391	-78.702774
145.019531	-77.036819
145.263672	-79.527618
145.507812	-80.697845
145.751953	-77.936180
145.996094	-77.792870
146.240234	-80.219925
146.484375	-83.173965
146.728516	-80.521423
146.972656	-80.069870
147.216797	-80.259117
147.460938	-81.994064
147.705078	-80.009232
147.949219	-79.567520
148.193359	-80.674866
148.437500	-81.218987
148.681641	-79.417519
148.925781	-77.065178
149.169922	-78.613495
149.414062	-78.340683
149.658203	-77.652061
149.902344	-77.865601
150.146484	-80.997322
150.390625	-78.041412
150.634766	-79.612755
150.878906	-79.872421
151.123047	-83.848686
151.367188	-82.033791
151.611328	-83.620995
151.855469	-81.706963
152.099609	-79.766594
152.343750	-80.232323
152.587891	-81.338959
152.832031	-80.621063
153.076172	-79.020638
153.320312	-81.695099
153.564453	-82.737312
153.808594	-80.417465
154.052734	-78.890419
154.296875	-82.917175
154.541016	-82.223984
154.785156	-78.909584
155.029297	-78.130585
155.273438	-78.506058
155.517578	-81.825813
155.761719	-81.043633
156.005859	-79.061867
156.250000	-79.340263
156.494141	-83.400948
156.738281	-80.154266
156.982422	-80.486786
157.226562	-81.654968
157.470703	-82.387840
157.714844	-83.332176
157.958984	-81.085686
158.203125	-80.087234
158.447266	-79.632149
158.691406	-82.203125
158.935547	-81.832016
159.179688	-80.049301
159.423828	-79.715965
159.667969	-81.734535
159.912109	-79.597977
160.156250	-79.723671
160.400391	-82.939926
160.644531	-79.537354
160.888672	-81.252434
161.132812	-81.423523
161.376953	-81.973740
161.621094	-80.858696
161.865234	-76.855774
162.109375	-81.030823
162.353516	-79.922256
162.597656	-79.412254
162.841797	-80.704659
163.085938	-83.152939
163.330078	-81.257324
163.574219	-80.754181
163.818359	-79.664642
164.062500	-82.291748
164.306641	-80.967522
164.550781	-79.351845
164.794922	-79.648605
165.039062	-81.149704
165.283203	-83.923248
165.527344	-82.545433
165.771484	-83.751480
166.015625	-78.826950
166.259766	-80.752617
166.503906	-76.998138
166.748047	-80.276390
166.992188	-78.921791
167.236328	-80.170921
167.480469	-80.050507
167.724609	-81.048027
167.968750	-81.936035
168.212891	-78.486534
168.457031	-81.100365
168.701172	-83.347870
168.945312	-81.578400
169.189453	-82.814095
169.433594	-82.554062
169.677734	-79.750900
169.921875	-81.553490
170.166016	-82.967155
170.410156	-81.167465
170.654297	-77.984451
170.898438	-80.342216
171.142578	-79.233215
171.386719	-82.946411
171.630859	-81.491112
171.875000	-85.224670
172.119141	-81.813103
172.363281	-80.983719
172.607422	-82.424088
172.851562	-81.412361
173.095703	-83.136902
173.339844	-79.647331
173.583984	-79.914711
173.828125	-81.649254
174.072266	-84.859795
174.316406	-81.415993
174.560547	-83.069641
174.804688	-79.998131
175.048828	-80.978165
175.292969	-82.372910
175.537109	-78.006859
175.781250	-82.605614
176.025391	-79.758575
176.269531	-79.082664
176.513672	-85.401779
176.757812	-79.893341
177.001953	-81.837639
177.246094	-80.814201
177.490234	-83.560242
177.734375	-82.033981
177.978516	-82.353050
178.222656	-80.386200
178.466797	-83.200684
178.710938	-81.882256
178.955078	-81.688583
179.199219	-82.391434
179.443359	-84.725143
179.687500	-80.356422
179.931641	-80.127899
180.175781	-80.204872
180.419922	-79.746918
180.664062	-79.972855
180.908203	-81.074623
181.152344	-81.972778
181.396484	-84.385811
181.640625	-84.219933
181.884766	-80.122147
182.128906	-83.087753
182.373047	-80.620789
182.617188	-86.388580
182.861328	-83.087029
183.105469	-84.291656
183.349609	-80.185524
183.593750	-85.148399
183.837891	-83.877426
184.082031	-82.168617
184.326172	-80.710335
184.570312	-80.082039
184.814453	-80.043961
185.058594	-82.219154
185.302734	-84.022552
185.546875	-81.979706
185.791016	-80.060066
186.035156	-80.613388
186.279297	-80.492264
186.523438	-80.498390
186.767578	-82.855057
187.011719	-86.094307
187.255859	-81.518845
187.500000	-84.708778
187.744141	-84.281769
187.988281	-80.064682
188.232422	-82.647491
188.476562	-80.873016
188.720703	-80.641930
188.964844	-82.219086
189.208984	-82.480133
189.453125	-83.884445
189.697266	-80.865616
189.941406	-79.669746
190.185547	-80.393150
190.429688	-86.015198
190.673828	-81.916786
190.917969	-81.514297
191.162109	-79.614006
191.406250	-84.166000
191.650391	-81.827942
191.894531	-83.629349
192.138672	-79.038895
192.382812	-79.821220
192.626953	-83.263260
192.871094	-80.830597
193.115234	-80.904495
193.359375	-81.319550
193.603516	-83.299759
193.847656	-81.838837
194.091797	-85.084557
194.335938	-81.579025
194.580078	-79.671646
194.824219	-78.249817
195.068359	-81.440567
195.312500	-79.160576
195.556641	-80.755318
195.800781	-81.238953
196.044922	-82.457603
196.289062	-83.032150
196.533203	-83.672203
196.777344	-84.190262
197.021484	-81.657745
197.265625	-82.317818
197.509766	-84.453255
197.753906	-83.198021
197.998047	-81.986420
198.242188	-83.097717
198.486328	-85.453979
198.730469	-80.509758
198.974609	-82.814774
199.218750	-82.192162
199.462891	-80.495125
199.707031	-85.028671
199.951172	-81.592285
200.195312	-82.381561
200.439453	-80.790802
200.683594	-80.312752
200.927734	-82.585968
201.171875	-80.969025
201.416016	-80.695168
201.660156	-82.621010
201.904297	-82.623878
202.148438	-79.168938
202.392578	-81.689720
202.636719	-79.467613
202.880859	-79.601967
203.125000	-82.163483
203.369141	-83.884575
203.613281	-86.885788
203.857422	-81.413033
204.101562	-80.084953
204.345703	-83.566582
204.589844	-81.427322
204.833984	-83.044853
205.078125	-84.355156
205.322266	-79.386185
205.566406	-80.847206
205.810547	-84.607140
206.054688	-82.719933
206.298828	-80.872864
206.542969	-81.655464
206.787109	-81.490387
207.031250	-79.768394
207.275391	-83.120049
207.519531	-85.695389
207.763672	-82.749931
208.007812	-83.446373
208.251953	-81.558716
208.496094	-84.262390
208.740234	-82.397034
208.984375	-81.957664
209.228516	-82.887619
209.472656	-85.758369
209.716797	-81.817596
209.960938	-84.219185
210.205078	-83.033096
210.449219	-84.753471
210.693359	-80.750175
210.937500	-81.482094
211.181641	-83.598412
211.425781	-80.476166
211.669922	-83.451614
211.914062	-83.239021
212.158203	-79.616821
212.402344	-80.702179
212.646484	-79.167274
212.890625	-82.319626
213.134766	-83.744637
213.378906	-77.900215
213.623047	-80.097038
213.867188	-78.436020
214.111328	-83.430611
214.355469	-80.843437
214.599609	-81.316071
214.843750	-81.018967
215.087891	-81.402870
215.332031	-78.844589
215.576172	-82.251801
215.820312	-84.018219
216.064453	-81.547577
216.308594	-81.624413
216.552734	-82.271919
216.796875	-81.388550
217.041016	-78.168121
217.285156	-78.732544
217.529297	-78.804230
217.773438	-82.677498
218.017578	-83.566040
218.261719	-83.518936
218.505859	-84.351059
218.750000	-85.756989
218.994141	-83.450600
219.238281	-84.313957
219.482422	-83.802544
219.726562	-87.311577
