Frequency (Hz)	Level (dB)
141.601562	-80.969437
142.089844	-78.121902
142.578125	-79.197365
143.066406	-80.321625
143.554688	-79.762787
144.042969	-80.130783
144.531250	-78.982803
145.019531	-79.029999
145.507812	-78.379814
145.996094	-78.507057
146.484375	-78.038681
146.972656	-79.826370
147.460938	-79.517166
147.949219	-78.533485
148.437500	-81.125084
148.925781	-77.325882
149.414062	-78.670616
149.902344	-78.329948
150.390625	-77.047668
150.878906	-78.606667
151.367188	-81.831367
151.855469	-78.608681
152.343750	-78.288544
152.832031	-79.725761
153.320312	-81.463966
153.808594	-78.718376
154.296875	-78.803345
154.785156	-76.474426
155.273438	-77.179817
155.761719	-77.601402
156.250000	-78.206154
156.738281	-77.726570
157.226562	-79.033440
157.714844	-80.752220
158.203125	-78.511116
158.691406	-79.330093
159.179688	-79.803238
159.667969	-81.408257
160.156250	-76.831665
160.644531	-80.972290
161.132812	-80.445030
161.621094	-78.187622
162.109375	-78.176689
162.597656	-80.865349
163.085938	-80.386986
163.574219	-78.677780
164.062500	-79.877075
164.550781	-77.348755
165.039062	-80.112000
165.527344	-80.188934
166.015625	-78.431160
166.503906	-79.071014
166.992188	-78.864616
167.480469	-80.608818
167.968750	-78.953804
168.457031	-78.841248
168.945312	-81.087395
169.433594	-77.514130
169.921875	-78.356636
170.410156	-77.618111
170.898438	-79.373695
171.386719	-80.520744
171.875000	-80.372719
172.363281	-81.557526
172.851562	-79.775589
173.339844	-79.147133
173.828125	-79.530975
174.316406	-78.964401
174.804688	-79.522850
175.292969	-78.181084
175.781250	-79.807121
176.269531	-79.996185
176.757812	-78.306160
177.246094	-80.679031
177.734375	-80.318832
178.222656	-79.570206
178.710938	-79.030655
179.199219	-80.196724
179.687500	-77.907425
180.175781	-76.115196
180.664062	-78.759697
181.152344	-80.231438
181.640625	-81.170174
182.128906	-79.147987
182.617188	-81.995216
183.105469	-82.900986
183.593750	-80.522545
184.082031	-80.943359
184.570312	-78.372353
