Frequency (Hz)	Level (dB)				
1815.518188	-56.877926				
1816.864014	-56.66732				
1818.209839	-56.074539				
1819.555664	-57.072166				
1820.901489	-56.53421				
1822.247314	-56.84317				
1823.59314	-56.885357				
1824.938965	-57.474434				
1826.28479	-57.177555				
1827.630615	-58.886677				
1828.97644	-58.061066				
1830.322266	-57.571892				
1831.668091	-56.405365				
1833.013916	-55.965153				
1834.359741	-56.740562				
1835.705566	-56.969158				
1837.051392	-57.035759				
1838.397217	-57.566856				
1839.743042	-57.444881				
1841.088867	-57.020473				
1842.434692	-56.728008				
1843.780518	-56.266628				
1845.126343	-57.115719				
1846.472168	-57.819202				
1847.817993	-57.373463				
1849.163818	-57.190453				
1850.509644	-57.405975				
1851.855469	-57.531281				
1853.201294	-57.853214				
1854.547119	-57.077766				
1855.892944	-56.49189				
1857.23877	-56.314568				
1858.584595	-57.073193				
1859.93042	-55.996559				
1861.276245	-57.94363				
1862.62207	-56.760399				
1863.967896	-57.854935				
1865.313721	-57.073975				
1866.659546	-56.738705				
1868.005371	-57.114834				
1869.351196	-57.148418				
1870.697021	-57.632698				
1872.042847	-56.723148				
1873.388672	-56.582191				
1874.734497	-56.989872				
1876.080322	-57.023449				
1877.426147	-57.338032				
1878.771973	-58.007973				
1880.117798	-56.07003				
1881.463623	-57.636791				
1882.809448	-57.224724				
1884.155273	-58.402321				
1885.501099	-56.85331				
1886.846924	-57.747826				
1888.192749	-58.392456				
1889.538574	-56.91124				
1890.884399	-57.475342				
1892.230225	-58.532501				
1893.57605	-56.454296				
1894.921875	-57.542007				
1896.2677	-57.74485				
1897.613525	-56.883541				
1898.959351	-57.67804				
1900.305176	-57.472893				
1901.651001	-57.664757				
1902.996826	-57.955742				
1904.342651	-57.436447				
1905.688477	-57.400826				
1907.034302	-57.936207				
1908.380127	-57.426495				
1909.725952	-57.704372				
1911.071777	-57.482304				
1912.417603	-57.377357				
1913.763428	-57.209362				
1915.109253	-57.873325				
1916.455078	-56.876591				
1917.800903	-57.112923				
1919.146729	-56.601261				
1920.492554	-57.530079				
1921.838379	-57.191196				
1923.184204	-57.165234				
1924.530029	-57.944252				
