Frequency (Hz)	Level (dB)
124.023438	-65.599258
124.511719	-66.311890
125.000000	-67.265007
125.488281	-67.278221
125.976562	-65.765007
126.464844	-66.510117
126.953125	-66.080650
127.441406	-67.235573
127.929688	-65.559296
128.417969	-66.270554
128.906250	-65.985489
129.394531	-66.255585
129.882812	-64.459778
130.371094	-65.883957
130.859375	-65.504593
131.347656	-65.156288
131.835938	-66.108223
132.324219	-66.474014
132.812500	-65.838684
133.300781	-66.120033
133.789062	-65.457153
134.277344	-65.759720
134.765625	-66.184662
135.253906	-66.174255
135.742188	-66.304489
136.230469	-65.980309
136.718750	-65.318687
137.207031	-65.864731
137.695312	-65.670219
138.183594	-65.883118
138.671875	-65.957268
139.160156	-65.370735
139.648438	-65.820351
140.136719	-65.000587
140.625000	-66.202759
141.113281	-66.792030
141.601562	-66.828194
142.089844	-66.106186
142.578125	-66.170319
143.066406	-66.611473
143.554688	-66.138657
144.042969	-65.486748
144.531250	-65.919357
145.019531	-66.467117
145.507812	-65.998650
145.996094	-65.825508
146.484375	-66.134163
146.972656	-65.920975
147.460938	-66.311790
147.949219	-66.326584
148.437500	-66.318619
148.925781	-66.182838
149.414062	-66.258682
149.902344	-67.044205
150.390625	-66.375977
150.878906	-66.512535
151.367188	-65.961388
151.855469	-67.272865
152.343750	-67.155319
152.832031	-66.231491
153.320312	-66.240227
153.808594	-66.165611
154.296875	-66.935547
154.785156	-67.106544
155.273438	-66.435982
155.761719	-68.165253
156.250000	-67.685356
156.738281	-66.946243
157.226562	-66.572746
157.714844	-67.202438
158.203125	-67.255768
158.691406	-67.596672
159.179688	-68.313278
159.667969	-67.764160
160.156250	-67.632423
160.644531	-68.238739
161.132812	-69.011421
161.621094	-68.640213
162.109375	-68.580025
162.597656	-67.690239
163.085938	-68.350311
163.574219	-68.333847
164.062500	-68.454987
164.550781	-69.685410
165.039062	-69.334694
165.527344	-69.474861
166.015625	-68.866394
166.503906	-68.918961
166.992188	-69.508858
167.480469	-68.997345
167.968750	-70.459679
168.457031	-69.839149
168.945312	-69.798660
169.433594	-69.962265
169.921875	-69.596642
170.410156	-69.822823
170.898438	-71.246208
171.386719	-71.674629
171.875000	-70.728302
172.363281	-71.107712
172.851562	-71.021690
173.339844	-69.783859
173.828125	-71.564461
174.316406	-71.305252
174.804688	-70.583717
175.292969	-70.606758
175.781250	-71.271446
176.269531	-72.187660
176.757812	-70.181190
177.246094	-72.002228
177.734375	-72.046165
178.222656	-71.241730
178.710938	-71.795799
179.199219	-70.655823
179.687500	-71.815887
180.175781	-72.405922
