Frequency (Hz)	Level (dB)
141.601562	-78.347466
142.089844	-77.538895
142.578125	-77.767265
143.066406	-77.984879
143.554688	-78.000290
144.042969	-77.280533
144.531250	-76.914505
145.019531	-75.996674
145.507812	-77.918335
145.996094	-76.740555
146.484375	-76.289749
146.972656	-78.828888
147.460938	-78.612701
147.949219	-79.223030
148.437500	-78.444511
148.925781	-75.270966
149.414062	-76.953323
149.902344	-76.812279
150.390625	-78.171135
150.878906	-77.825233
151.367188	-77.768196
151.855469	-77.365662
152.343750	-78.181870
152.832031	-77.822853
153.320312	-78.181190
153.808594	-76.367622
154.296875	-77.853943
154.785156	-76.566139
155.273438	-77.242615
155.761719	-77.984764
156.250000	-78.184700
156.738281	-76.666710
157.226562	-77.639046
157.714844	-77.469421
158.203125	-77.029320
158.691406	-76.806641
159.179688	-75.903282
159.667969	-78.666245
160.156250	-77.021187
160.644531	-76.379189
161.132812	-77.912117
161.621094	-76.930733
162.109375	-77.216949
162.597656	-75.303650
163.085938	-76.794891
163.574219	-77.664772
164.062500	-76.117279
164.550781	-77.726181
165.039062	-78.904007
165.527344	-80.732773
166.015625	-78.043221
166.503906	-76.462585
166.992188	-77.335609
167.480469	-76.720390
167.968750	-79.767021
168.457031	-79.821472
168.945312	-77.565590
169.433594	-77.606560
169.921875	-77.596298
170.410156	-78.540100
170.898438	-80.296021
171.386719	-77.997925
171.875000	-78.799110
172.363281	-75.474434
172.851562	-78.762428
173.339844	-77.894615
173.828125	-77.545609
174.316406	-77.276611
174.804688	-80.381859
175.292969	-77.097443
175.781250	-77.380165
176.269531	-77.003487
176.757812	-76.142799
177.246094	-77.524673
177.734375	-76.483490
178.222656	-77.877716
178.710938	-77.476471
179.199219	-76.549477
179.687500	-77.682610
180.175781	-77.419693
180.664062	-77.113846
181.152344	-75.888344
181.640625	-79.131416
182.128906	-78.088768
182.617188	-78.056030
183.105469	-77.684059
183.593750	-77.730568
184.082031	-80.149788
184.570312	-78.099663
185.058594	-78.519859
185.546875	-75.786354
186.035156	-79.058487
186.523438	-77.537827
187.011719	-80.136543
187.500000	-80.206818
187.988281	-76.221581
